"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"2oz Souffle Cup Lid","Disposable Cuttlery","7421",6,TRUE,FALSE,"3 Cases","$79.14"
"AAA Saku Tuna (1# BLOCK)","Seafood","5160",3,TRUE,FALSE,"22 Pounds","$205.70"
"Apple Juice","Beverages","5210",1,TRUE,FALSE,"8 Bottles","$29.18"
"Apricots","Produce","5150",1,TRUE,FALSE,"12 Cases","$14.40"
"Baby Carrots","Produce","5150",1,TRUE,FALSE,"12 Cases","$24.40"
"Baby Shrimp Bag 150/250 CT","Seafood","5160",1,TRUE,FALSE,"5 Pounds","$36.25"
"Baked Green Tea Cheese Cake","Baked Goods","5110",0,TRUE,FALSE,"",
"Beefeater","Liquor","5320",1,TRUE,FALSE,"",
"Black Sesame Seeds","Other Food","5100",1,TRUE,FALSE,"5 Pounds","$12.50"
"Bombay Sapphire","Liquor","5320",0,TRUE,FALSE,"",
"Bonito Flakes (Miso Soup Component)","Other Food","5100",1,TRUE,FALSE,"Ounce","$108.00"
"Bounty Household Roll Towel","Restaurant Supplies","7408",2,TRUE,FALSE,"3 Cases","$69.27"
"Bud Lite","Liquor","5320",1,TRUE,FALSE,"Bottle","$1.00"
"Butter","Dairy Products","5120",1,TRUE,FALSE,"36 Pounds","$94.45"
"Cherries","Produce","5150",1,TRUE,FALSE,"12 Cases","$14.40"
"Cherry Tomato","Produce","5150",1,TRUE,FALSE,"12 Cases","$24.40"
"Chicken Dumplings","Other Food","5100",1,TRUE,FALSE,"210 Ounces","$35.00"
"Chicken Legs","Meat","5140",0,TRUE,FALSE,"",
"Chili Sesame Oil","Other Food","5100",1,TRUE,FALSE,"193 Fluid Ounces","$105.00"
"Chix Pink Wipers","Restaurant Supplies","7408",1,TRUE,FALSE,"9 Cases","$229.95"
"Choc Chips","Other Food","5100",1,TRUE,FALSE,"75 Pounds","$184.53"
"Chocolate Muffins","Baked Goods","5110",0,TRUE,FALSE,"",
"Chocolate Pocky Candy","Other Food","5100",1,TRUE,FALSE,"24 Ounces","$0.12"
"Chocolate Yan Yan","Other Food","5100",1,TRUE,FALSE,"20 Ounces","$0.090"
"Chopstick Helpers","Restaurant Supplies","7408",1,TRUE,FALSE,"500 Pieces","$35.00"
"Chopsticks (Green Writing)","Restaurant Supplies","7408",1,TRUE,FALSE,"100 Pieces","$3.25"
"Chopsticks (Orange Writing)","Restaurant Supplies","7408",1,TRUE,FALSE,"100 Pieces","$3.25"
"Cod","Fish","5130",1,TRUE,FALSE,"",
"Coke","Beverages","5210",1,TRUE,FALSE,"5 Gallons","$78.44"
"Container","Disposable Cuttlery","7421",2,TRUE,FALSE,"450 Cases","$145.32"
"Crabmeat Claw","Seafood","5160",1,TRUE,FALSE,"6 Pounds","$73.79"
"Cranberry Juice","Beverages","5210",1,TRUE,FALSE,"Bottle","$3.32"
"Crawfish Salad","Seafood","5160",1,TRUE,FALSE,"2 Pounds","$35.48"
"Crayon","Restaurant Supplies","7408",1,TRUE,FALSE,"Case","$71.12"
"Cream Cheese","Dairy Products","5120",1,TRUE,FALSE,"18 Pounds","$66.26"
"Crouton","Produce","5150",1,TRUE,FALSE,"12 Boxes","$24.40"
"Cucumber","Produce","5150",3,TRUE,FALSE,"12 Pounds","$24.40"
"Cup","Disposable Cuttlery","7421",3,TRUE,FALSE,"12 Cases","$52.46"
"Diet Coke","Beverages","5210",1,TRUE,FALSE,"5 Gallons","$77.98"
"EBI 3l Size Butterflied Cooked Shrimp","Seafood","5160",1,TRUE,FALSE,"600 Pieces","$120.00"
"Eel","Seafood","5160",1,TRUE,FALSE,"11 Pounds","$110.00"
"Eel Sauce","Other Food","5100",1,TRUE,FALSE,"3 Gallons","$54.00"
"Eggs","Dairy Products","5120",4,TRUE,FALSE,"Case","$27.30"
"Extra Firm Organic Tofu","Other Food","5100",1,TRUE,FALSE,"144 Ounces","$13.00"
"Film PVC Roll","Restaurant Supplies","7408",2,TRUE,FALSE,"Count","$25.83"
"Fork","Disposable Cuttlery","7421",3,TRUE,FALSE,"1000 Counts","$62.62"
"Garlic Powder","Other Food","5100",1,TRUE,FALSE,"6 Pounds","$61.68"
"Gin","Liquor","5320",1,TRUE,FALSE,"Bottle","$20.99"
"Gin (750ml)","Liquor","5320",0,TRUE,FALSE,"",
"Gin 750ml","Liquor","5320",0,TRUE,FALSE,"",
"Ginger Ale","Beverages","5210",1,TRUE,FALSE,"2 Gallons","$40.35"
"Ginn","Liquor","5320",0,TRUE,FALSE,"",
"Gin, Spirit","Liquor","5320",0,TRUE,FALSE,"",
"Glenlivet","Liquor","5320",1,TRUE,FALSE,"",
"Glove","Restaurant Supplies","7408",2,TRUE,FALSE,"400 Counts","$39.46"
"Grapefruit Juice","Beverages","5210",1,TRUE,FALSE,"264 Ounces","$27.89"
"Green Hat","Liquor","5320",1,TRUE,FALSE,"",
"Green Tea Pocky Candy","Other Food","5100",2,TRUE,FALSE,"24 Ounces","$0.12"
"Ground Tuna","Seafood","5160",2,TRUE,FALSE,"22 Pounds","$108.90"
"Ham","Meat","5140",0,TRUE,FALSE,"",
"Heavy Cream","Dairy Products","5120",1,TRUE,FALSE,"12 Quarts","$33.00"
"Hello Kitty Strawberry Marshmallow Candy","Other Food","5100",1,TRUE,FALSE,"37 Ounces","$16.00"
"Hendricks","Liquor","5320",1,TRUE,FALSE,"",
"Hi Chew Cherry Candy","Other Food","5100",1,TRUE,FALSE,"17 Ounces","$0.050"
"Hi Chew Grape Candy","Other Food","5100",1,TRUE,FALSE,"17 Ounces","$0.050"
"Hi Chew Green Apple Candy","Other Food","5100",1,TRUE,FALSE,"17 Ounces","$0.050"
"Hi Chew Mango Candy","Other Food","5100",1,TRUE,FALSE,"17 Ounces","$0.050"
"Hi Chew Strawberry Candy","Other Food","5100",1,TRUE,FALSE,"17 Ounces","$0.050"
"Hondashi (Miso Soup Additive)","Other Food","5100",1,TRUE,FALSE,"22 Pounds","$148.00"
"Ikura (Large Orange Salmon Eggs)","Seafood","5160",1,TRUE,FALSE,"2 Pounds","$55.00"
"Inari Tofu Pockets","Dairy Products","5120",1,TRUE,FALSE,"458 Ounces","$80.00"
"Itoen Green Tea Bottles","Beverages","5210",1,TRUE,FALSE,"202 Fluid Ounces","$15.60"
"Itoen Jasmine Green Tea Bottles","Beverages","5210",1,TRUE,FALSE,"202 Fluid Ounces","$15.60"
"Itoen Peach Green Tea Bottles","Beverages","5210",1,TRUE,FALSE,"202 Fluid Ounces","$15.60"
"JW Black","Liquor","5320",1,TRUE,FALSE,"",
"Kanikama Crab Stick","Seafood","5160",1,TRUE,FALSE,"22 Pounds","$59.00"
